%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1588858883418133370,2026,1588858883417983214,,0.499228778263,-0.199273596438,0.21250716817
1588858883421132791,2027,1588858883420963564,,0.499228822058,-0.199277241292,0.212505310092
1588858883427044892,2028,1588858883426949911,,0.499229053612,-0.19928124819,0.212503666702
1588858883430083106,2029,1588858883429970025,,0.499228923875,-0.199284828002,0.212500828259
1588858883433184989,2030,1588858883432987065,,0.499228807266,-0.199289547845,0.212499983934
1588858883439075250,2031,1588858883438944771,,0.499229034022,-0.199293381912,0.212498920724
1588858883442099711,2032,1588858883441979344,,0.499229285005,-0.199298694612,0.212497972144
1588858883445180538,2033,1588858883444954106,,0.499229616625,-0.199302296764,0.212497620335
1588858883451094462,2034,1588858883450915979,,0.499230226011,-0.199306683493,0.212498458566
1588858883457183645,2035,1588858883456968199,,0.499230440987,-0.199311751637,0.212497536251
1588858883460055543,2036,1588858883459950096,,0.499231234038,-0.199316617787,0.212499609216
1588858883463119307,2037,1588858883462941581,,0.499231720034,-0.199320024968,0.212500246831
1588858883466074545,2038,1588858883465975169,,0.499231297322,-0.199323697724,0.212499707395
1588858883469107573,2039,1588858883468955956,,0.499232421356,-0.199326877475,0.212501390366
1588858883475179856,2040,1588858883474990218,,0.499232306462,-0.199327494145,0.212500901228
1588858883478157896,2041,1588858883477957927,,0.499232049754,-0.199329862795,0.212499811057
1588858883481185758,2042,1588858883481007466,,0.499232534479,-0.199330567817,0.212499925965
1588858883487291224,2043,1588858883487182888,,0.49923244368,-0.199332508727,0.212498601361
1588858883490409122,2044,1588858883490261801,,0.499232481786,-0.199333016325,0.212498369706
1588858883496276425,2045,1588858883496053652,,0.499232734742,-0.199334560421,0.212496981771
1588858883499138658,2046,1588858883498975545,,0.499232739884,-0.199334322309,0.212494733078
1588858883502132413,2047,1588858883501993292,,0.499233367581,-0.199335659116,0.212494912419
1588858883505038307,2048,1588858883504960697,,0.499233261852,-0.199335402709,0.212492308318
1588858883511112377,2049,1588858883511002659,,0.499233544731,-0.199337016133,0.212491217682
1588858883514135554,2050,1588858883514005490,,0.499234154538,-0.199336771113,0.212489207946
1588858883517068484,2051,1588858883516962421,,0.499234546241,-0.199336601088,0.212487827196
1588858883523083645,2052,1588858883522980069,,0.499234838314,-0.199337804461,0.212485909474
1588858883526091492,2053,1588858883525976559,,0.499234933979,-0.199336739421,0.212483299378
1588858883532171264,2054,1588858883532005871,,0.499235290583,-0.199335959843,0.212480764983
1588858883535082069,2055,1588858883534917287,,0.49923587145,-0.199335039184,0.212478718702
1588858883538021081,2056,1588858883537943270,,0.499235765849,-0.199334310802,0.212476538737
1588858883547113406,2057,1588858883546985707,,0.49923796518,-0.199330139443,0.212472888744
1588858883553201591,2058,1588858883553035949,,0.499238424701,-0.199328809061,0.212469484647
1588858883556094105,2059,1588858883555979851,,0.499238946258,-0.199326965721,0.212466404641
1588858883559061864,2060,1588858883558925851,,0.499240097598,-0.199322468701,0.212464171187
1588858883562057824,2061,1588858883561940690,,0.499241479655,-0.199320147667,0.212460500279
1588858883568174001,2062,1588858883568005066,,0.49924286167,-0.199315287015,0.212457364574
1588858883571131472,2063,1588858883571010784,,0.499244161479,-0.199309446971,0.212453309421
1588858883577149522,2064,1588858883577025256,,0.499245879935,-0.199304419911,0.212450266945
1588858883580135252,2065,1588858883579993104,,0.499248367332,-0.199293979269,0.212446837421
1588858883583115597,2066,1588858883582972490,,0.499249945758,-0.199281216778,0.212440856758
1588858883586459584,2067,1588858883586357544,,0.499251681878,-0.19926772259,0.21243462203
1588858883592089363,2068,1588858883591974027,,0.49925448889,-0.199255799679,0.212431006304
1588858883595085775,2069,1588858883594969028,,0.499256577398,-0.199242906175,0.212427103794
1588858883601117880,2070,1588858883601023116,,0.499258937043,-0.199230250688,0.212423077384
1588858883607173900,2071,1588858883607009651,,0.499263423921,-0.19920051038,0.212414402051
1588858883610145455,2072,1588858883610046932,,0.499265903989,-0.199184581283,0.212409702163
1588858883616125487,2073,1588858883615992204,,0.499267773221,-0.199167827562,0.212404455833
1588858883619257320,2074,1588858883619027229,,0.499269330159,-0.199152407769,0.212399043442
1588858883625118760,2075,1588858883624969863,,0.499269929298,-0.199138526107,0.212392590806
1588858883628146286,2076,1588858883628025556,,0.499269089752,-0.199124625918,0.212385222468
1588858883631089094,2077,1588858883630990269,,0.499268996295,-0.199110807876,0.212378806686
1588858883634094884,2078,1588858883633992173,,0.49926848896,-0.199099628384,0.212370933834
1588858883640130796,2079,1588858883640027898,,0.499267229742,-0.199086712397,0.212364352149
1588858883643161250,2080,1588858883643024274,,0.499266228529,-0.199074135531,0.212356776017
1588858883649182796,2081,1588858883649075120,,0.499264307643,-0.199064235208,0.212349168167
1588858883652108229,2082,1588858883652006593,,0.499262923988,-0.199052489101,0.212341213406
1588858883655145727,2083,1588858883655030352,,0.499261119085,-0.199041435002,0.212333613985
1588858883658163895,2084,1588858883658018327,,0.499259092741,-0.199031163063,0.212325310706
1588858883667123167,2085,1588858883666994801,,0.499255175633,-0.199010628839,0.212309678738
1588858883673113263,2086,1588858883673006625,,0.499253377449,-0.198998960162,0.212302178382
1588858883676125081,2087,1588858883676022686,,0.499252314926,-0.198989053261,0.212295174488
1588858883679125325,2088,1588858883679021088,,0.499251181716,-0.198978706168,0.212288213395
1588858883685181632,2089,1588858883685061366,,0.499249632671,-0.198965782741,0.212281264216
1588858883688363411,2090,1588858883688177493,,0.49924881405,-0.198954766587,0.212275917379
1588858883691090902,2091,1588858883690992457,,0.499247307042,-0.198943623504,0.212268487479
1588858883697257572,2092,1588858883697034638,,0.49924616673,-0.198932948348,0.212262555879
1588858883700203018,2093,1588858883700025296,,0.499244843673,-0.198920336225,0.212257524472
1588858883703083718,2094,1588858883702969326,,0.49924354655,-0.198904906802,0.212251138538
1588858883709097213,2095,1588858883708973395,,0.499242459602,-0.198892692903,0.212246928929
1588858883712078733,2096,1588858883711959210,,0.4992409727,-0.198876991168,0.212242018998
1588858883715262876,2097,1588858883715069951,,0.499239175907,-0.198863391974,0.212236761378
1588858883721140637,2098,1588858883721026338,,0.499237303384,-0.198846920609,0.21223466536
1588858883724220637,2099,1588858883724103104,,0.49923454764,-0.198829772232,0.212231703999
1588858883727213139,2100,1588858883727101892,,0.499233064374,-0.198814413927,0.212229437806
1588858883733164884,2101,1588858883733032287,,0.499231653708,-0.198800451573,0.212226257285
1588858883736121904,2102,1588858883735996715,,0.499229501297,-0.198784079133,0.212223491328
1588858883739172828,2103,1588858883739022539,,0.499228212408,-0.198770715002,0.212221474518
1588858883745147254,2104,1588858883745046454,,0.499227062284,-0.198754695805,0.212220678026
1588858883748164346,2105,1588858883748074984,,0.499226410329,-0.198738786373,0.212221346829
1588858883751183996,2106,1588858883751075812,,0.499224925145,-0.198722463143,0.212220400345
1588858883757221982,2107,1588858883757085112,,0.499223664716,-0.198706472549,0.212219739906
1588858883763153440,2108,1588858883763024275,,0.499222595952,-0.198690214539,0.212217791145
1588858883769172608,2109,1588858883769040991,,0.499222359903,-0.198673705132,0.212216607818
1588858883772157222,2110,1588858883772000237,,0.499223082047,-0.19865717332,0.212217886569
1588858883775214209,2111,1588858883775050986,,0.499222519241,-0.198639868544,0.212215428282
1588858883778237326,2112,1588858883778045531,,0.499223032103,-0.198622049295,0.212215350464
1588858883781183682,2113,1588858883781037606,,0.499223119174,-0.198606008905,0.212213858871
1588858883787346374,2114,1588858883787225707,,0.499223305943,-0.198588461827,0.212213825345
1588858883790378250,2115,1588858883790271575,,0.499223320036,-0.198572646326,0.21221283951
1588858883793224827,2116,1588858883793061668,,0.499223245633,-0.198555517937,0.212212709053
1588858883796204385,2117,1588858883796014068,,0.499222847341,-0.198537017659,0.212210965106
1588858883802133582,2118,1588858883801940402,,0.499222207189,-0.198517897362,0.212208368494
1588858883805071254,2119,1588858883804981612,,0.499221192841,-0.198502329119,0.212206306904
1588858883808184443,2120,1588858883808047981,,0.499221127837,-0.198485512554,0.2122063056
1588858883814165701,2121,1588858883814038218,,0.499220388968,-0.198469919461,0.212205902161
1588858883817161410,2122,1588858883816963796,,0.499219501886,-0.198454646649,0.212204882392
1588858883820163342,2123,1588858883820034539,,0.499218490506,-0.198436643928,0.2122024301
1588858883826206785,2124,1588858883826039106,,0.49921704418,-0.19841741971,0.212200316099
1588858883829197387,2125,1588858883829058020,,0.499216666303,-0.198402011757,0.212197797408
1588858883832206089,2126,1588858883832057280,,0.499216532232,-0.198385121128,0.212195710433
1588858883838150476,2127,1588858883838032232,,0.499216169986,-0.198369369739,0.212194121719
1588858883841109212,2128,1588858883841004228,,0.499215398605,-0.198352650376,0.212191767541
1588858883850242776,2129,1588858883850070178,,0.499213524421,-0.198321030168,0.212186042182
1588858883853135370,2130,1588858883853041870,,0.499213101755,-0.19830343797,0.212184762021
1588858883859234021,2131,1588858883859120037,,0.499212470027,-0.198282959271,0.212182927549
1588858883865265107,2132,1588858883865144927,,0.499212878241,-0.198262801364,0.212181910803
1588858883871225698,2133,1588858883871082495,,0.499212815387,-0.198244113213,0.212179543052
1588858883874225352,2134,1588858883874028541,,0.499212911399,-0.198225291993,0.212176977044
1588858883877185601,2135,1588858883877047824,,0.499211831606,-0.198207512809,0.212172852581
1588858883880140132,2136,1588858883880023894,,0.499212481424,-0.198192963057,0.212170071292
1588858883883151188,2137,1588858883883028085,,0.499213104055,-0.198174886657,0.212167890701
1588858883886562403,2138,1588858883886459345,,0.499212877795,-0.198153453194,0.212163132908
1588858883892265669,2139,1588858883892148219,,0.49921329066,-0.19813320991,0.212161413824
1588858883898211540,2140,1588858883898106308,,0.499213642096,-0.198114204023,0.212158913006
1588858883901227763,2141,1588858883901087284,,0.499214924541,-0.198092350333,0.212156176496
1588858883907192508,2142,1588858883907065413,,0.499216381042,-0.198052958586,0.212148247071
1588858883910178775,2143,1588858883910016014,,0.499216949818,-0.198034660907,0.212142481449
1588858883913204760,2144,1588858883913081813,,0.499217921569,-0.198015749881,0.212137378907
1588858883916158714,2145,1588858883916050022,,0.499218143697,-0.19799689097,0.212133932546
1588858883922234553,2146,1588858883922062418,,0.499219089564,-0.197978021841,0.212130060688
1588858883925252073,2147,1588858883925088497,,0.49921964518,-0.197957143516,0.212125857565
1588858883931205159,2148,1588858883931050204,,0.499220133987,-0.197937002408,0.212122380141
1588858883934165354,2149,1588858883934042345,,0.499220515402,-0.197921165798,0.212120814892
1588858883940220123,2150,1588858883940039055,,0.499220809928,-0.197897572577,0.212116661146
1588858883943144173,2151,1588858883943052058,,0.499221516645,-0.197872096556,0.212112944788
1588858883946178667,2152,1588858883946044363,,0.499221879213,-0.197851938068,0.212109431246
1588858883949263764,2153,1588858883949044659,,0.499223514794,-0.19782895879,0.212107582374
1588858883955222703,2154,1588858883955025745,,0.49922305605,-0.197808280154,0.212103767941
