%time,field.header.seq,field.header.stamp,field.header.frame_id,field.array.layout.data_offset,field.array.data0,field.array.data1,field.array.data2,field.array.data3,field.array.data4,field.array.data5,field.array.data6
1588858880082503302,1195,1588858880082407946,,0,0.0375295773434,-0.0725610980212,-0.143557728167,-0.0546688795441,0.0641307137879,-0.178328298482,-0.055596139046
1588858880088605853,1196,1588858880088520098,,0,0.0370644242969,-0.0726154761897,-0.142524444736,-0.0545814772202,0.0637800278503,-0.177596996363,-0.0554917864135
1588858880094516168,1197,1588858880094427770,,0,0.0366549727267,-0.0715552024199,-0.141195498625,-0.0540131311429,0.0630619513103,-0.17544347008,-0.0547761658146
1588858880100566435,1198,1588858880100457025,,0,0.0355035790043,-0.069244661988,-0.141459435577,-0.0515434785675,0.0642641235699,-0.173286272843,-0.0521516077084
1588858880106467031,1199,1588858880106341804,,0,0.0356423741342,-0.0672500728628,-0.140810719641,-0.0507059827288,0.063596838235,-0.170822242481,-0.0510737633462
1588858880112497839,1200,1588858880112406008,,0,0.035038538975,-0.0664683613532,-0.138756796649,-0.0499569060949,0.0626835266582,-0.168416030068,-0.0503638911355
1588858880118531207,1201,1588858880118439789,,0,0.0334993666519,-0.0664497252679,-0.134453791045,-0.0490175848961,0.0612303669877,-0.165159874751,-0.0497208603164
1588858880124478254,1202,1588858880124382243,,0,0.0326422262895,-0.0660860445923,-0.131893587941,-0.0483262247709,0.0603038008861,-0.162903395081,-0.0491470351281
1588858880130501409,1203,1588858880130409545,,0,0.0337590034253,-0.0651487909401,-0.134475227644,-0.0484149244953,0.060969483292,-0.163979922346,-0.0489219761506
1588858880136479032,1204,1588858880136330013,,0,0.0337279410691,-0.0647097756779,-0.134087253931,-0.0480721404146,0.0608263986891,-0.163439174505,-0.0485388268339
1588858880142412241,1205,1588858880142309196,,0,0.0345090311147,-0.0645090860986,-0.139905775748,-0.0476245082704,0.0641195652988,-0.167721751752,-0.0478147536523
1588858880148473579,1206,1588858880148363227,,0,0.0344670115058,-0.0640534188494,-0.139533677565,-0.0473155079473,0.063839883319,-0.167016683665,-0.0474187101072
1588858880154502765,1207,1588858880154406652,,0,0.0360842386988,-0.0642473203568,-0.140408297261,-0.0488866077611,0.0627533450959,-0.16790048952,-0.048713405261
1588858880160414258,1208,1588858880160319824,,0,0.0359717149833,-0.064960919353,-0.140438530795,-0.0490709337744,0.0627967915095,-0.168693756459,-0.0488661181754
1588858880166469819,1209,1588858880166383738,,0,0.0359415775362,-0.0645486367431,-0.140081350568,-0.0488123370691,0.0625122882642,-0.168140500317,-0.0484557513413
1588858880172426659,1210,1588858880172321668,,0,0.0350628716705,-0.0646223737056,-0.137723513139,-0.0483646649486,0.0616158051338,-0.166422183576,-0.0480697366479
1588858880178504369,1211,1588858880178411582,,0,0.0344258714269,-0.0638253478509,-0.135578051993,-0.0476918633245,0.0605733087567,-0.163972618946,-0.0473142223702
1588858880184457954,1212,1588858880184366098,,0,0.034902377132,-0.0631694959124,-0.132540886717,-0.0485393512339,0.0578272014427,-0.161116058162,-0.0479072696585
1588858880190697722,1213,1588858880190607003,,0,0.0342945764777,-0.0621656948609,-0.130267206729,-0.0479336931896,0.0566890333263,-0.158477073815,-0.0471346320228
1588858880196353447,1214,1588858880196294981,,0,0.0337159587725,-0.0612984365145,-0.128112268468,-0.0473858055534,0.0556533484788,-0.156031054946,-0.0464916372282
1588858880202416671,1215,1588858880202321332,,0,0.0325740806879,-0.0606780731536,-0.129327796288,-0.0458100467,0.057528465004,-0.15630222569,-0.0448772195084
1588858880208415165,1216,1588858880208341636,,0,0.033817469018,-0.059217926289,-0.132285850941,-0.0459381065467,0.0581378807778,-0.156925755569,-0.0445549575456
1588858880214285386,1217,1588858880214196352,,0,0.0336869442465,-0.0588428388148,-0.131968604525,-0.0457902734467,0.0579443374508,-0.156197756897,-0.0443663497215
1588858880217318489,1218,1588858880217241714,,0,0.0338540795732,-0.0592001880423,-0.132862600892,-0.0460887320397,0.0582506963312,-0.15702425067,-0.0446434377236
1588858880223374910,1219,1588858880223284253,,0,0.0342996821088,-0.058408095335,-0.133811918617,-0.0460167491237,0.0583414991857,-0.156853680353,-0.0443699362975
1588858880229378993,1220,1588858880229295216,,0,0.0340977404757,-0.0589525110301,-0.133658284917,-0.0461779902435,0.0583825137495,-0.157207483898,-0.044599653087
1588858880235269990,1221,1588858880235191898,,0,0.0340948636991,-0.059247467902,-0.133910995448,-0.0463302730929,0.0584721243164,-0.157630812885,-0.0447280203601
1588858880241333924,1222,1588858880241244909,,0,0.0337479145255,-0.0595984056026,-0.133171157874,-0.0462148448871,0.0583494543886,-0.157437706081,-0.044745860521
1588858880247317863,1223,1588858880247219458,,0,0.0340694291182,-0.0587488503511,-0.133483888471,-0.0459218810162,0.0582824778772,-0.157016500475,-0.04425809641
1588858880253311110,1224,1588858880253237772,,0,0.0339867720705,-0.0581303296866,-0.132852004649,-0.0455118285875,0.0579957136955,-0.156092851536,-0.0437871966383
1588858880259255934,1225,1588858880259163812,,0,0.0342383496473,-0.0565374156625,-0.132564467617,-0.0448230287111,0.0575986583276,-0.15445566148,-0.0428923993559
1588858880265219263,1226,1588858880265152221,,0,0.0336691761168,-0.0563039259217,-0.130762462978,-0.0443645056517,0.0569613585392,-0.153084558292,-0.0424397219125
1588858880271310249,1227,1588858880271222377,,0,0.0328266158749,-0.056228852227,-0.128292337503,-0.0437783480753,0.0561336310291,-0.151270685441,-0.0419914671565
1588858880277210428,1228,1588858880277143480,,0,0.0332412757371,-0.0558688718526,-0.124886147665,-0.0445357023006,0.0533124225882,-0.148374221516,-0.042699646651
1588858880283242176,1229,1588858880283152653,,0,0.0328093429038,-0.0559427244051,-0.123745623711,-0.0443269781878,0.0529087101277,-0.147599563523,-0.0425376896752
1588858880289624531,1230,1588858880289540210,,0,0.0327230377401,-0.05555455514,-0.123403579928,-0.0441256731254,0.052685582117,-0.14696604385,-0.0422487911232
1588858880295260718,1231,1588858880295123701,,0,0.0335181014987,-0.0552425384613,-0.126020068707,-0.0444477804654,0.0535648240196,-0.148585407338,-0.0422646731698
1588858880301295641,1232,1588858880301153093,,0,0.0334331825469,-0.0548607426737,-0.125676385563,-0.0442983033499,0.0533292648851,-0.147981695446,-0.0419964664213
1588858880307372091,1233,1588858880307225636,,0,0.0350753218468,-0.0542260515906,-0.125193478041,-0.0459059827071,0.0511332974787,-0.146979373378,-0.0431334809474
1588858880313205150,1234,1588858880313125328,,0,0.0339846361848,-0.0544028480448,-0.127351401862,-0.0446679358884,0.053593800428,-0.148808675493,-0.0418591506197
1588858880316208365,1235,1588858880316137782,,0,0.0344661582985,-0.0541593349823,-0.128560681357,-0.0449279121961,0.0538212696357,-0.14942724244,-0.0419095287221
1588858880322270321,1236,1588858880322179782,,0,0.0340469756917,-0.0543120839193,-0.127574879527,-0.0448096548177,0.0534247390857,-0.148697399244,-0.0418509761871
1588858880328457308,1237,1588858880328355024,,0,0.0338623197423,-0.0538020406481,-0.126971513679,-0.044504216404,0.0530934677994,-0.147707407727,-0.0414657775814
1588858880334441526,1238,1588858880334330567,,0,0.0328722147474,-0.0528363019319,-0.12777042293,-0.0427570810779,0.0546106003161,-0.147393935446,-0.0397038467767
1588858880340392546,1239,1588858880340295759,,0,0.0319131533194,-0.0530290725705,-0.125242857703,-0.0423012677055,0.0537540623119,-0.145594046275,-0.0394559438371
1588858880346413599,1240,1588858880346317222,,0,0.0323838437366,-0.0513626422815,-0.125608580758,-0.0417987128927,0.0534398280178,-0.144198774421,-0.0386555444478
1588858880352487722,1241,1588858880352390763,,0,0.0320215885017,-0.050967225949,-0.124314460473,-0.0413276508292,0.052893307713,-0.142784236385,-0.0382586645129
1588858880359421278,1242,1588858880359298411,,0,0.0316388756318,-0.0504987034959,-0.122941778183,-0.0408329752859,0.052329771792,-0.141277795196,-0.0378232764372
1588858880364344871,1243,1588858880364256751,,0,0.0322269179853,-0.050241401218,-0.119987434623,-0.041705148779,0.0496958560554,-0.138814519327,-0.0386616644324
1588858880370407202,1244,1588858880370285049,,0,0.0317091394383,-0.0498985899959,-0.122709015549,-0.0404325532471,0.052139585761,-0.140603725884,-0.0373605147554
1588858880376244835,1245,1588858880376164168,,0,0.0316793626414,-0.0495687804549,-0.122339689102,-0.0401930121401,0.0519402003044,-0.140102936814,-0.0370714891841
1588858880382272699,1246,1588858880382180641,,0,0.0327202862122,-0.0507087746384,-0.121841657723,-0.0419408506895,0.0505707305668,-0.141018186974,-0.0387109880244
1588858880388321089,1247,1588858880388236211,,0,0.0326725048585,-0.0503678205581,-0.121480906208,-0.0417397449705,0.0503709969936,-0.140538876108,-0.0384179536867
1588858880394299353,1248,1588858880394128518,,0,0.0335039023936,-0.049588839311,-0.123389335089,-0.0418221625382,0.0508200277768,-0.141321729574,-0.038159142774
1588858880397649272,1249,1588858880397548356,,0,0.0326564259633,-0.0489737642223,-0.124635962818,-0.0404186839104,0.0525037093561,-0.141784152271,-0.0366800011321
1588858880403206983,1250,1588858880403101911,,0,0.0325704478252,-0.0486516567416,-0.124277045307,-0.0402809209328,0.0523088181165,-0.141305697421,-0.0364292487808
1588858880406314678,1251,1588858880406228494,,0,0.0331405545409,-0.0494447517848,-0.122242315718,-0.0417097156745,0.0502404725186,-0.140501620948,-0.0378500560895
1588858880412377689,1252,1588858880412292621,,0,0.0329310913629,-0.048923808365,-0.121611619742,-0.0414165144148,0.04988454562,-0.139399219524,-0.0374980574301
1588858880415691587,1253,1588858880415576171,,0,0.0321594107155,-0.0484273920471,-0.119386023971,-0.0407787562024,0.0490677241067,-0.137182956338,-0.0369593666768
1588858880421175198,1254,1588858880421063209,,0,0.0320353632254,-0.0481140029094,-0.119068453311,-0.0406631108457,0.0488431446166,-0.136556789731,-0.0367612388051
1588858880424156721,1255,1588858880424080342,,0,0.031627268921,-0.0474387973358,-0.117704920223,-0.0401949239438,0.0481763512413,-0.134667781965,-0.0363154225142
1588858880427198998,1256,1588858880427075680,,0,0.0316303533672,-0.0464825318652,-0.117319766015,-0.0398414183239,0.0477632904398,-0.133301505562,-0.0358239572255
1588858880430481347,1257,1588858880430399399,,0,0.031314471491,-0.0460103080525,-0.116090550714,-0.0395444159406,0.0471051848301,-0.131877195053,-0.0354611112262
1588858880436605624,1258,1588858880436493752,,0,0.0300083097948,-0.0458760642929,-0.11662937246,-0.0380790569621,0.0487420360893,-0.132216157041,-0.0340790493836
1588858880442531002,1259,1588858880442446380,,0,0.0298330018954,-0.044879312227,-0.115546523957,-0.0375463404587,0.048099473236,-0.130436767018,-0.0334293409258
1588858880448289228,1260,1588858880448214993,,0,0.030739096466,-0.0448746868158,-0.113664718042,-0.0387878589039,0.0458259169824,-0.128995339361,-0.0345388696724
1588858880454184852,1261,1588858880454097637,,0,0.0309070934426,-0.044823947103,-0.114291506858,-0.0388468563261,0.0460410026543,-0.129443094732,-0.0344912141874
1588858880457208696,1262,1588858880457119608,,0,0.031181071935,-0.0448343631054,-0.115343264392,-0.0389225866148,0.0464485668647,-0.130207455047,-0.0344898637955
1588858880460459992,1263,1588858880460309419,,0,0.0315232751015,-0.0449560802049,-0.116547890779,-0.0390614739261,0.0469633700076,-0.131282755359,-0.034561422194
1588858880466492148,1264,1588858880466422641,,0,0.0313864245281,-0.0455709147891,-0.116365102047,-0.0392574474896,0.0469854933322,-0.131791113314,-0.0348315593215
1588858880472229510,1265,1588858880472164588,,0,0.0313379940389,-0.0452772807416,-0.115989168985,-0.0390086198347,0.0468578324122,-0.131330665898,-0.0345846805439
1588858880475203436,1266,1588858880475127193,,0,0.031530514109,-0.0455061217103,-0.116515284204,-0.0392481871867,0.0470528054379,-0.132051097371,-0.0347638336007
1588858880478217151,1267,1588858880478146904,,0,0.0315589876356,-0.0454051335267,-0.116462553735,-0.0391854099752,0.0469933991768,-0.13194451352,-0.0346766782367
