%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1589275378133138886,4862,1589275378133045859,,0.383272841019,-0.51499267229,1.31512416872,0.295982366196,-0.0130216602373,-0.124524077488
1589275378136211299,4863,1589275378136094679,,0.406103597713,-0.386124306153,1.29137757177,0.296156969906,-0.0130244155053,-0.125273810705
1589275378139130210,4864,1589275378139043396,,0.406256569846,-0.385927613189,1.26812343174,0.295389487432,-0.0130409764092,-0.125275016638
1589275378145035252,4865,1589275378144933298,,0.383501462921,-0.385807279968,1.26748988404,0.29263196524,-0.0130310464764,-0.124535571337
1589275378147994856,4866,1589275378147880891,,0.383510872553,-0.385814320149,1.26748489399,0.292631204775,-0.0130292907785,-0.124537541948
1589275378151224911,4867,1589275378151118430,,0.383498931561,-0.385827401267,1.26748452511,0.292631897678,-0.0130311203685,-0.124535722362
1589275378157130625,4868,1589275378157007049,,0.40642553954,-0.385740555281,1.244963256,0.291916668167,-0.0130305494777,-0.126201632815
1589275378160085989,4869,1589275378159982535,,0.383689678847,-0.385634000956,1.24431507709,0.290988259063,-0.0130285609731,-0.125453279566
1589275378163188429,4870,1589275378163101760,,0.38363466758,-0.257334398526,1.24331915423,0.290961667935,-0.0130263682721,-0.124546502624
1589275378169186185,4871,1589275378169086734,,0.383624833019,-0.257350401924,1.24331887633,0.290962886613,-0.0130227827654,-0.124544030515
1589275378172202841,4872,1589275378172107330,,0.383621903349,-0.257371238751,1.24331546715,0.291016760611,-0.0130226193092,-0.126346239353
1589275378175093574,4873,1589275378175023564,,0.406166976985,-0.257650723105,1.26715816176,0.290889390454,-0.0130236993574,-0.127101917492
1589275378181288247,4874,1589275378181216599,,0.428644155832,-0.257919560293,1.29109721023,0.291679883913,-0.0130263865132,-0.127849692105
1589275378184127705,4875,1589275378184043850,,0.428648596836,-0.2579244975,1.2910947495,0.292621400715,-0.0130285626177,-0.128741369197
1589275378187104965,4876,1589275378187011171,,0.428651616361,-0.257923613365,1.29109392363,0.292621298964,-0.0130269254163,-0.128741766143
1589275378193231974,4877,1589275378193087651,,0.406223764123,-0.386055502606,1.26809501365,0.291804805025,-0.0123637140073,-0.127096621015
1589275378196139086,4878,1589275378196059451,,0.40622334412,-0.386063044743,1.26809285207,0.291804773878,-0.0123634350866,-0.127096719656
1589275378202234013,4879,1589275378202108016,,0.406336954269,-0.257527009292,1.2439663608,0.291066465452,-0.0130226725997,-0.127997751902
1589275378205115880,4880,1589275378205016433,,0.383501536583,-0.129468898943,1.26591971398,0.290867443854,-0.0130220647719,-0.126344945673
1589275378208150554,4881,1589275378208069906,,0.383504708084,-0.129474217298,1.26591820926,0.290866874899,-0.0130247361976,-0.126345980132
1589275378214174612,4882,1589275378214096151,,0.383670296686,-0.129385345425,1.2427082123,0.291896815112,-0.0123705462805,-0.125440858792
1589275378217139841,4883,1589275378217045096,,0.36123980927,-0.129217512229,1.21883540127,0.291109115273,-0.0123695011769,-0.124694236136
1589275378220255727,4884,1589275378220086850,,0.361244561769,-0.129212236666,1.218834552,0.291108405559,-0.012372906134,-0.1246955552
1589275378226255554,4885,1589275378226173376,,0.383684590204,-0.129383130151,1.24270402991,0.290935740344,-0.0123759648713,-0.123648583272
1589275378229144311,4886,1589275378229050236,,0.361081619114,-0.12931044648,1.24204584176,0.291790888041,-0.0130412139032,-0.121996114773
1589275378232247203,4887,1589275378232105525,,0.36108461239,-0.12931178614,1.24204483209,0.291764587423,-0.0123842286749,-0.121100374152
1589275378238172065,4888,1589275378238072522,,0.360900488044,-0.129404829734,1.26526440428,0.293392401414,-0.0123906633362,-0.119286665981
1589275378241093628,4889,1589275378241021358,,0.360895435997,-0.129402986229,1.26526603384,0.29339255935,-0.0123950756258,-0.119285819125
1589275378244157885,4890,1589275378244073774,,0.33817965503,-0.257403909073,1.26523091954,0.292455259169,-0.0123927645805,-0.118539056618
1589275378250120372,4891,1589275378250047123,,0.360895751592,-0.129407080948,1.26526552503,0.293366031975,-0.0123969615775,-0.118390278361
1589275378253190170,4892,1589275378253055630,,0.338187460205,-0.257406755932,1.26522825411,0.293317308199,-0.012398598639,-0.116743573635
1589275378256130025,4893,1589275378256042907,,0.315611819329,-0.129259394819,1.26399300444,0.29420087329,-0.0117438822248,-0.115983870894
1589275378262085421,4894,1589275378262002565,,0.31560460918,-0.129262062858,1.26399453191,0.294201574767,-0.0117430914303,-0.115982171606
1589275378265176735,4895,1589275378265075361,,0.338305612325,-0.12933325767,1.26462248316,0.295111954418,-0.0117489531856,-0.115827688375
1589275378268137994,4896,1589275378268036629,,0.338307155145,-0.129341095225,1.26462126885,0.29511101227,-0.0124078610724,-0.115828764638
1589275378274088802,4897,1589275378274013758,,0.338522602847,-0.00139941108467,1.26446026773,0.295991686226,-0.0124135256211,-0.114924337659
1589275378277119851,4898,1589275378277018092,,0.315824774273,-0.00135185108717,1.26382929488,0.29597151293,-0.0117527161129,-0.114166504549
1589275378283509679,4899,1589275378283423733,,0.338281796253,-0.129334904106,1.26462868569,0.295062606831,-0.0111023322548,-0.114030646985
1589275378286136811,4900,1589275378286052915,,0.337971164911,-0.25756937681,1.28853920247,0.296762774562,-0.0111087666982,-0.114915606704
1589275378289169829,4901,1589275378289096157,,0.338280628009,-0.129333530706,1.26462913865,0.295942368393,-0.0111076753509,-0.113118641563
1589275378292261941,4902,1589275378292090816,,0.338282180247,-0.129328564342,1.26462923134,0.295942167446,-0.0111090129156,-0.113119035933
