%time,field.data
1589275159595966122,-0.2
1589275159596037837,-0.199999995625
1589275159602749282,-0.199999965117
1589275159609439536,-0.199999882664
1589275159616200100,-0.1999997228
1589275159622747710,-0.199999460407
1589275159629435072,-0.199999070714
1589275159636150208,-0.199998529288
1589275159642806510,-0.199997812044
1589275159649455463,-0.199996895232
1589275159656143894,-0.199995755444
1589275159662811658,-0.199994369607
1589275159669439117,-0.199992714986
1589275159676076473,-0.199990769177
1589275159682744881,-0.199988510112
1589275159689448502,-0.199985916049
1589275159696143893,-0.199982965581
1589275159702799575,-0.199979637625
1589275159709499366,-0.199975911424
1589275159716199372,-0.199971766548
1589275159722795319,-0.199967182889
1589275159729447050,-0.199962140659
1589275159736085715,-0.199956620393
1589275159742859890,-0.199950602942
1589275159749487283,-0.199944069474
1589275159756160105,-0.199937001473
1589275159762748644,-0.199929380737
1589275159769429389,-0.199921189376
1589275159776118433,-0.199912409809
1589275159782778535,-0.199903024766
1589275159789466927,-0.199893017284
1589275159796109770,-0.199882370705
1589275159802787324,-0.199871068676
1589275159809380748,-0.199859095147
1589275159816156198,-0.19984643437
1589275159822808537,-0.199833070894
1589275159829462498,-0.199818989568
1589275159836120874,-0.199804175538
1589275159842828593,-0.199788614244
1589275159849490685,-0.19977229142
1589275159856137241,-0.19975519309
1589275159862887645,-0.199737305572
1589275159869479583,-0.19971861547
1589275159876171196,-0.199699109675
1589275159882823035,-0.199678775364
1589275159889467338,-0.1996576
1589275159896111824,-0.199635571326
1589275159902790014,-0.199612677367
1589275159909546182,-0.199588906426
1589275159916190615,-0.199564247088
1589275159922863981,-0.199538688208
1589275159929480642,-0.199512218921
1589275159936184228,-0.199484828633
1589275159942882169,-0.19945650702
1589275159949471164,-0.199427244032
1589275159956145848,-0.199397029884
1589275159962824278,-0.199365855058
1589275159969483378,-0.199333710304
1589275159976090412,-0.199300586634
1589275159982759207,-0.199266475321
1589275159989467228,-0.199231367901
1589275159996191885,-0.199195256168
1589275160002908146,-0.199158132173
1589275160009474737,-0.199119988224
1589275160016151675,-0.199080816883
1589275160022795995,-0.199040610964
1589275160029483200,-0.198999363533
1589275160036157288,-0.198957067907
1589275160042824059,-0.198913717649
1589275160049463725,-0.19886930657
1589275160056155005,-0.198823828725
1589275160062806924,-0.198777278414
1589275160069486781,-0.198729650176
1589275160076208254,-0.198680938794
1589275160082835319,-0.198631139287
1589275160089493791,-0.198580246914
1589275160096257806,-0.198528257166
1589275160102834714,-0.198475165771
1589275160109450071,-0.198420968688
1589275160116103097,-0.198365662109
1589275160122762136,-0.198309242453
1589275160129431587,-0.198251706368
1589275160136073709,-0.198193050729
1589275160142860778,-0.198133272633
1589275160149489839,-0.198072369405
1589275160156085127,-0.198010338587
1589275160162800596,-0.197947177943
1589275160169466248,-0.197882885455
1589275160176170320,-0.197817459323
1589275160182883557,-0.197750897962
1589275160189463491,-0.1976832
1589275160196144053,-0.197614364278
1589275160202860376,-0.197544389846
1589275160209480197,-0.197473275967
1589275160216199002,-0.197401022108
1589275160222898887,-0.197327627943
1589275160229465289,-0.197253093351
1589275160236111227,-0.197177418413
1589275160242818140,-0.197100603412
1589275160249516390,-0.197022648832
1589275160256116549,-0.196943555352
1589275160262773044,-0.196863323851
1589275160269452196,-0.196781955401
1589275160276193152,-0.196699451267
1589275160282782908,-0.19661581291
1589275160289440900,-0.196531041975
1589275160296118888,-0.196445140302
1589275160302864592,-0.196358109915
1589275160309457145,-0.196269953024
1589275160316145632,-0.196180672024
1589275160322784795,-0.196090269491
1589275160329510332,-0.195998748185
1589275160336173603,-0.195906111043
1589275160342828929,-0.19581236118
1589275160349476725,-0.195717501889
1589275160356203692,-0.195621536636
1589275160362829491,-0.195524469061
1589275160369467851,-0.195426302976
1589275160376128204,-0.195327042363
1589275160382784494,-0.195226691372
1589275160389511385,-0.195125254321
1589275160396134132,-0.195022735692
1589275160402820675,-0.194919140133
1589275160409480507,-0.194814472451
1589275160416184043,-0.194708737618
1589275160422857949,-0.194601940761
1589275160429484637,-0.194494087168
1589275160436092747,-0.194385182281
1589275160442723549,-0.194275231698
1589275160449528297,-0.194164241168
1589275160456123224,-0.194052216593
1589275160462811346,-0.193939164025
1589275160469531649,-0.193825089662
1589275160476152695,-0.193709999853
1589275160482873788,-0.193593901087
1589275160489509624,-0.1934768
1589275160496119540,-0.193358703369
1589275160502812971,-0.193239618112
1589275160509483729,-0.193119551286
1589275160516201133,-0.192998510083
1589275160522803231,-0.192876501834
1589275160529472937,-0.192753534003
1589275160536164479,-0.192629614185
1589275160542842763,-0.192504750109
1589275160549533192,-0.192378949632
1589275160556131649,-0.192252220739
1589275160562805985,-0.192124571541
1589275160569516172,-0.191996010275
1589275160576188772,-0.1918665453
1589275160582852047,-0.191736185099
1589275160589483590,-0.191604938272
1589275160596153218,-0.191472813539
1589275160602876930,-0.191339819739
1589275160609437341,-0.191205965824
1589275160616138432,-0.19107126086
1589275160622829796,-0.190935714027
1589275160629533493,-0.190799334615
1589275160636142721,-0.190662132022
1589275160642784297,-0.190524115756
1589275160649488067,-0.19038529543
1589275160656158652,-0.19024568076
1589275160662791580,-0.190105281568
1589275160669512446,-0.189964107776
1589275160676142399,-0.189822169405
1589275160682801084,-0.189679476576
1589275160689464371,-0.189536039506
1589275160696185600,-0.189391868507
1589275160702861908,-0.189246973984
1589275160709438681,-0.189101366436
1589275160716157440,-0.188955056451
1589275160722789269,-0.188808054707
1589275160729473055,-0.188660371968
1589275160736125196,-0.188512019085
1589275160742834224,-0.188363006992
1589275160749508091,-0.188213346709
1589275160756280967,-0.188063049332
1589275160762840324,-0.187912126041
1589275160769435568,-0.187760588092
1589275160776165597,-0.187608446818
1589275160782810654,-0.187455713627
1589275160789492558,-0.1873024
1589275160796092759,-0.18714851749
1589275160802858021,-0.18699407772
1589275160809468292,-0.186839092382
1589275160816135239,-0.186683573235
1589275160822797195,-0.186527532104
1589275160829441424,-0.186370980877
1589275160836129840,-0.186213931504
1589275160842802973,-0.186056395999
1589275160849481133,-0.185898386432
1589275160856120155,-0.185739914932
1589275160862776379,-0.185580993683
1589275160869525955,-0.185421634927
1589275160876147285,-0.185261850954
1589275160882866636,-0.185101654111
1589275160889477607,-0.18494105679
1589275160896118673,-0.184780071435
1589275160902834656,-0.184618710535
1589275160909494457,-0.184456986624
1589275160916118548,-0.184294912281
1589275160922765255,-0.184132500127
1589275160929460119,-0.183969762822
1589275160936166509,-0.183806713067
1589275160942842094,-0.1836433636
1589275160949475935,-0.183479727192
1589275160956112917,-0.183315816654
1589275160962785521,-0.183151644825
1589275160969461072,-0.182987224576
1589275160976113917,-0.18282256881
1589275160982773483,-0.182657690455
1589275160989506521,-0.182492602469
1589275160996170604,-0.182327317832
1589275161002792214,-0.182161849548
1589275161009418249,-0.181996210644
1589275161016166173,-0.181830414166
1589275161022771482,-0.18166447318
1589275161029443986,-0.181498400768
1589275161036149293,-0.181332210028
1589275161042826223,-0.181165914073
1589275161049567154,-0.180999526027
1589275161056161741,-0.180833059026
1589275161062814405,-0.180666526214
1589275161069507704,-0.180499940744
1589275161076162390,-0.180333315775
1589275161082803032,-0.180166664472
1589275161090569004,-0.18
1589275161096132703,-0.179833335528
1589275161102841867,-0.179666684225
1589275161109515350,-0.179500059256
1589275161116158634,-0.179333473786
1589275161122851725,-0.179166940974
1589275161129515093,-0.179000473973
1589275161136123132,-0.178834085927
1589275161142807268,-0.178667789972
1589275161149538667,-0.178501599232
1589275161156111450,-0.17833552682
1589275161162827214,-0.178169585834
1589275161169504985,-0.178003789356
1589275161176159857,-0.177838150452
1589275161182860430,-0.177672682168
1589275161189455746,-0.177507397531
1589275161196122111,-0.177342309545
1589275161202786015,-0.17717743119
1589275161209482852,-0.177012775424
1589275161216126110,-0.176848355175
1589275161222797114,-0.176684183346
1589275161229479651,-0.176520272808
1589275161236173841,-0.1763566364
1589275161242790504,-0.176193286933
1589275161249507768,-0.176030237178
1589275161256196713,-0.175867499873
1589275161262843785,-0.175705087719
1589275161269527662,-0.175543013376
1589275161276181393,-0.175381289465
1589275161282821822,-0.175219928565
1589275161289500798,-0.17505894321
1589275161296146450,-0.174898345889
1589275161302848677,-0.174738149046
1589275161309544967,-0.174578365073
1589275161316226912,-0.174419006317
1589275161322866834,-0.174260085068
1589275161329492653,-0.174101613568
1589275161336177811,-0.173943604001
1589275161342825978,-0.173786068496
1589275161349560359,-0.173629019123
1589275161356149455,-0.173472467896
1589275161362855649,-0.173316426765
1589275161369482085,-0.173160907618
1589275161376184902,-0.17300592228
1589275161382796427,-0.17285148251
1589275161389538397,-0.1726976
1589275161396134720,-0.172544286373
1589275161402829154,-0.172391553182
1589275161409525532,-0.172239411908
1589275161416161018,-0.172087873959
1589275161422811091,-0.171936950668
1589275161429447450,-0.171786653291
1589275161436225808,-0.171636993008
1589275161442840714,-0.171487980915
1589275161449525522,-0.171339628032
1589275161456181793,-0.171191945293
1589275161462777336,-0.171044943549
1589275161469497774,-0.170898633564
1589275161476160728,-0.170753026016
1589275161482783803,-0.170608131493
1589275161489470783,-0.170463960494
1589275161496134111,-0.170320523424
1589275161502856894,-0.170177830595
1589275161509512661,-0.170035892224
1589275161516134134,-0.169894718432
1589275161522784804,-0.16975431924
1589275161529580701,-0.16961470457
1589275161536198837,-0.169475884244
