%time,field.header.seq,field.header.stamp,field.header.frame_id,field.array.layout.data_offset,field.array.data0,field.array.data1,field.array.data2,field.array.data3,field.array.data4,field.array.data5,field.array.data6
1589284777764374521,11257,1589284777764277148,,0,0.00464591224385,-0.0785256561328,-0.139527360419,-0.0601008108595,0.0492117208126,-0.211255163624,-0.0293373941054
1589284777767412678,11258,1589284777767288253,,0,0.00464113116622,-0.078529267024,-0.13952721034,-0.0601032807891,0.0492122944364,-0.211248710241,-0.0293384083025
1589284777770399149,11259,1589284777770325464,,0,0.00597357649054,-0.0785132619303,-0.138109176942,-0.0615751854844,0.0475867935868,-0.209942846043,-0.0304621507781
1589284777776381967,11260,1589284777776292920,,0,0.00598375145647,-0.0784588147526,-0.138111794277,-0.0615682892269,0.0475716172749,-0.2098933669,-0.0304494941909
1589284777779375942,11261,1589284777779276343,,0,0.00598330395078,-0.0784608804397,-0.138109606423,-0.0615693312587,0.047570966941,-0.209893172706,-0.0304500476496
1589284777785353325,11262,1589284777785279379,,0,0.0059722053893,-0.0785117559602,-0.138108460774,-0.0615798554868,0.0475833388498,-0.209943238048,-0.0304598752427
1589284777788448076,11263,1589284777788362962,,0,0.00598414462657,-0.0784588610047,-0.138112192034,-0.0615647651176,0.047571623949,-0.209889798424,-0.0304492072979
1589284777791311171,11264,1589284777791246794,,0,0.00598485537368,-0.0784564213325,-0.138110271958,-0.0615645968874,0.0475759057492,-0.209895336933,-0.0304509515538
1589284777797286914,11265,1589284777797212834,,0,0.00598229415505,-0.0784418093738,-0.13809983122,-0.0615748365981,0.0475787074181,-0.209921322097,-0.0304448827584
1589284777800861108,11266,1589284777800782577,,0,0.0059848066098,-0.0784042791631,-0.138073368027,-0.0615787961862,0.047594746276,-0.209969602971,-0.0304384664568
1589284777803521911,11267,1589284777803451275,,0,0.00598281342367,-0.0783178068757,-0.138022793232,-0.0615960387085,0.0476319959993,-0.210042827624,-0.0304312854177
1589284777809474915,11268,1589284777809388050,,0,0.00597147099538,-0.0781244809417,-0.137967291684,-0.0616360905995,0.0476780753009,-0.210063978284,-0.0304140008071
1589284777812398075,11269,1589284777812318823,,0,0.00462687426998,-0.0764199453936,-0.138108048024,-0.0593194519257,0.0487934286067,-0.208411491908,-0.0287889442303
1589284777815341013,11270,1589284777815271059,,0,0.00577923953562,-0.0767414368876,-0.135926154536,-0.0608610749051,0.047030573495,-0.206521656221,-0.0300496243588
1589284777821557427,11271,1589284777821470201,,0,0.00564570457223,-0.0757253369454,-0.134340599524,-0.0602411370787,0.0464800267171,-0.203809580227,-0.0297397127215
1589284777824206161,11272,1589284777824129660,,0,0.00360171149306,-0.073305148493,-0.131765872946,-0.0563341629717,0.0471707519572,-0.198767406297,-0.0273127253232
1589284777827290026,11273,1589284777827213573,,0,0.003600194168,-0.0725006066848,-0.130607304489,-0.0555890906561,0.0466448299468,-0.196632620219,-0.0269497418291
1589284777833161980,11274,1589284777833089459,,0,0.00335849020287,-0.0728398770546,-0.129409077061,-0.0552604827954,0.0463680396138,-0.195700183013,-0.0268611979553
1589284777836168014,11275,1589284777836106231,,0,0.0032275740342,-0.0736052810552,-0.129157816994,-0.0552461815361,0.0464073030425,-0.196193570456,-0.0269502801338
1589284777839311126,11276,1589284777839228353,,0,0.00331060605334,-0.0731535133479,-0.128845730932,-0.0549049150611,0.0461755164407,-0.195494735639,-0.0267494072455
1589284777845193649,11277,1589284777845125705,,0,0.00370189645803,-0.0722076164823,-0.129927647821,-0.0549042837645,0.0461639867053,-0.195582205293,-0.0266418762029
1589284777848194623,11278,1589284777848129198,,0,0.00417142639887,-0.0717298838417,-0.131907347909,-0.0553530118527,0.0464077525213,-0.196937496782,-0.026763628956
1589284777851221873,11279,1589284777851148702,,0,0.00460293577458,-0.0710266332996,-0.133342017502,-0.055612171223,0.0464648525349,-0.197608904947,-0.0267662555528
1589284777857244265,11280,1589284777857116853,,0,0.00370620754966,-0.0684268917475,-0.13742459816,-0.0535989290886,0.0484850968106,-0.199030539449,-0.0248603479493
1589284777860267014,11281,1589284777860195046,,0,0.00608158024721,-0.0694822892638,-0.138667602335,-0.0570450983692,0.0469152435316,-0.201563051091,-0.0270221051903
1589284777863308499,11282,1589284777863245265,,0,0.00700123400018,-0.0721363286597,-0.13722880277,-0.0592354236758,0.0457180201924,-0.203151406736,-0.0286590095122
1589284777869189867,11283,1589284777869119509,,0,0.00707619260623,-0.0716354466472,-0.136899888667,-0.0589915199119,0.0453863505298,-0.20244449291,-0.0284006750147
1589284777872190613,11284,1589284777872131502,,0,0.00719531886432,-0.073079282376,-0.139570674004,-0.0601136346455,0.0462043623931,-0.206549194815,-0.0288643107041
