%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1588764567916239001,899,1588764567916130494,,-0.0387322362108,-22.7908312193,16.3840209504
1588764567919091505,900,1588764567919009110,,-0.0402449180705,-22.8550456424,16.4186391425
1588764567922150673,901,1588764567922064990,,-0.0408346079306,-22.7596689434,16.3498619961
1588764567928424959,902,1588764567928284736,,-0.0389468957082,-23.0680171774,16.5527560353
1588764567931323726,903,1588764567931222089,,-0.0415750016909,-23.3583571858,16.7404774965
1588764567934402316,904,1588764567934288662,,-0.0430305044125,-23.2649731616,16.676676601
1588764567940467310,905,1588764567940337888,,-0.0420514663874,-23.5562329083,16.8713298321
1588764567943565578,906,1588764567943451299,,-0.0410770149286,-23.8408333667,17.0613824546
1588764567946310430,907,1588764567946192000,,-0.0439349348423,-23.7636241738,17.0036857291
1588764567952385759,908,1588764567952278849,,-0.0420248639331,-24.0447500284,17.1937585591
1588764567955418352,909,1588764567955279239,,-0.0422669896553,-23.9634927084,17.1377989832
1588764567958353829,910,1588764567958212684,,-0.0415538375166,-24.2413550304,17.3209455715
1588764567964433101,911,1588764567964267856,,-0.0407927017132,-24.5168878447,17.5014244487
1588764567967519560,912,1588764567967373131,,-0.0411079692316,-24.4303259028,17.4392860069
1588764567971054459,913,1588764567970786227,,-0.0400312269793,-24.6990492164,17.6154588035
1588764567976327791,914,1588764567976231635,,-0.0399720654176,-24.8146852787,17.6862409737
1588764567979202426,915,1588764567979055253,,-0.0412509761707,-24.883443521,17.7223554414
1588764567982414347,916,1588764567982245218,,-0.0420460316675,-24.7949483245,17.655406842
1588764567988313037,917,1588764567988214151,,-0.0423046658599,-25.0577223675,17.8275486485
1588764567991418520,918,1588764567991291352,,-0.0435199594093,-25.3202581837,17.9932974539
1588764567994382526,919,1588764567994226064,,-0.0439011973176,-25.2233869958,17.9256331354
1588764568000320533,920,1588764568000233785,,-0.0435095686988,-25.4754372588,18.089276264
1588764568009485092,921,1588764568009339862,,-0.0429462905674,-25.6263408806,18.1850282163
1588764568012292520,922,1588764568012201731,,-0.0425387834582,-25.8728657567,18.3440871212
1588764568015409801,923,1588764568015219040,,-0.0425132511562,-25.7747752195,18.277187881
1588764568018311712,924,1588764568018218399,,-0.0422086422786,-26.0126338705,18.4349080056
1588764568024363273,925,1588764568024264882,,-0.042050946125,-26.2566483131,18.5930521859
1588764568027347556,926,1588764568027228717,,-0.0409284878461,-26.15113483,18.522827834
1588764568033385897,927,1588764568033245733,,-0.0399738829406,-26.3861228751,18.6785518636
1588764568036302416,928,1588764568036215394,,-0.0383269896227,-26.3095984866,18.7307487563
1588764568039418009,929,1588764568039281835,,-0.0375927012373,-26.5389628619,18.773364719
1588764568045378812,930,1588764568045239493,,-0.0361523422248,-26.7556707257,18.9168839354
1588764568048347020,931,1588764568048259563,,-0.0340494849563,-26.6821375882,18.8611003906
1588764568051382407,932,1588764568051258633,,-0.0334003319157,-26.9090445907,19.0110995437
1588764568057416699,933,1588764568057314670,,-0.0347979461524,-27.1263960669,19.1532293442
1588764568060350353,934,1588764568060247010,,-0.0359747762071,-27.0373292226,19.0931598081
1588764568063541638,935,1588764568063417328,,-0.037270500285,-27.2676596852,19.2448889166
1588764568069275633,936,1588764568069143629,,-0.039364804753,-27.1764954201,19.1850699595
1588764568072444690,937,1588764568072340910,,-0.0388632822582,-27.4022726411,19.3369097053
1588764568075488382,938,1588764568075315780,,-0.0384306351757,-27.3114420941,19.2750205009
1588764568081387515,939,1588764568081294551,,-0.038516389341,-27.5303192153,19.4186908087
1588764568084290802,940,1588764568084193568,,-0.0385961693397,-27.7424847082,19.5605966483
1588764568087378050,941,1588764568087247922,,-0.0397333096276,-27.6494048822,19.4952639545
1588764568093391230,942,1588764568093303224,,-0.0414624735229,-27.856045151,19.6292892392
1588764568096461647,943,1588764568096347957,,-0.0429341713536,-27.8786157837,19.6415689902
1588764568099379503,944,1588764568099231740,,-0.0437120310638,-27.9521183565,19.6864983282
1588764568105386526,945,1588764568105253399,,-0.0455220476575,-28.1471318873,19.8059448535
1588764568108414603,946,1588764568108277171,,-0.0462029198755,-28.0391788571,19.7248115027
1588764568111393130,947,1588764568111272809,,-0.0469740453344,-28.227184495,19.8429134183
1588764568117451071,948,1588764568117327433,,-0.0468982581288,-28.405879088,19.9563121213
1588764568120755924,949,1588764568120627802,,-0.04755806176,-28.2982455063,19.8760498009
1588764568124072112,950,1588764568123942786,,-0.0473575147508,-28.4737738069,19.9889089413
1588764568129480394,951,1588764568129339468,,-0.0459823253959,-28.3605056794,19.9129110016
