%time,field.data
1588858573582892583,-0.2
1588858573583056913,-0.199999998153
1588858573589721851,-0.199999985259
1588858573596469302,-0.199999950374
1588858573603051222,-0.199999882664
1588858573609697705,-0.199999771402
1588858573616363189,-0.199999605976
1588858573623040673,-0.199999375879
1588858573629734223,-0.199999070714
1588858573636356456,-0.199998680193
1588858573643052149,-0.199998194136
1588858573649648253,-0.199997602471
1588858573656397601,-0.199996895232
1588858573663051006,-0.199996062562
1588858573669695351,-0.19999509471
1588858573676347225,-0.199993982031
1588858573683086285,-0.199992714986
1588858573689749345,-0.199991284141
1588858573696436639,-0.199989680168
1588858573703048607,-0.199987893844
1588858573709694012,-0.199985916049
1588858573716427742,-0.19998373777
1588858573723032731,-0.199981350094
1588858573729754107,-0.199978744213
1588858573736379546,-0.199975911424
1588858573743105387,-0.199972843123
1588858573749703515,-0.199969530811
1588858573756499563,-0.199965966088
1588858573763064260,-0.199962140659
1588858573769772789,-0.199958046328
1588858573776446349,-0.199953675
1588858573783066382,-0.19994901868
1588858573789792465,-0.199944069474
1588858573796413297,-0.199938819587
1588858573803082601,-0.199933261323
1588858573809775191,-0.199927387085
1588858573816464987,-0.199921189376
1588858573823113280,-0.199914660795
1588858573829657784,-0.19990779404
1588858573836306002,-0.199900581905
1588858573843060075,-0.199893017284
1588858573849780944,-0.199885093165
1588858573856422185,-0.199876802632
1588858573863026394,-0.199868138867
1588858573869717199,-0.199859095147
1588858573876469015,-0.199849664844
1588858573883238222,-0.199839841423
1588858573889744648,-0.199829618446
1588858573896406189,-0.199818989568
1588858573903075556,-0.199807948538
1588858573909740268,-0.199796489198
1588858573916439857,-0.199784605482
1588858573922997784,-0.19977229142
1588858573929659919,-0.19975954113
1588858573936335574,-0.199746348824
1588858573942991963,-0.199732708806
1588858573949641194,-0.19971861547
1588858573956376936,-0.199704063301
1588858573963028484,-0.199689046874
1588858573969790449,-0.199673560856
1588858573976387133,-0.1996576
1588858573983003382,-0.199641159152
1588858573989699246,-0.199624233244
1588858573996404876,-0.199606817299
1588858574003038788,-0.199588906426
1588858574009721668,-0.199570495824
1588858574016354742,-0.199551580776
1588858574023073479,-0.199532156656
1588858574029723411,-0.199512218921
1588858574036346385,-0.199491763118
1588858574043080749,-0.199470784877
1588858574049713145,-0.199449279914
1588858574056366620,-0.199427244032
1588858574063063326,-0.199404673117
1588858574069703511,-0.19938156314
1588858574076376259,-0.199357910156
1588858574083082794,-0.199333710304
1588858574089775979,-0.199308959807
1588858574096376903,-0.199283654968
1588858574103121773,-0.199257792176
1588858574109806807,-0.199231367901
1588858574116459122,-0.199204378695
1588858574123068803,-0.19917682119
1588858574129715718,-0.199148692101
1588858574136422489,-0.199119988224
1588858574143037475,-0.199090706433
1588858574149711156,-0.199060843685
1588858574156419745,-0.199030397013
1588858574163094080,-0.198999363533
1588858574169690751,-0.198967740438
1588858574176426406,-0.198935525
1588858574183083162,-0.198902714568
1588858574189727631,-0.19886930657
1588858574196430192,-0.198835298512
1588858574203073518,-0.198800687975
1588858574209749357,-0.198765472618
1588858574216370279,-0.198729650176
1588858574223085964,-0.198693218461
1588858574229724245,-0.198656175358
1588858574236340782,-0.19861851883
1588858574243064452,-0.198580246914
1588858574249700697,-0.198541357719
1588858574256386093,-0.198501849432
1588858574263085409,-0.198461720311
1588858574269840399,-0.198420968688
1588858574276336824,-0.198379592969
