%time,field.data
1589274131091425680,-0.2
1589274131091542454,-0.199999998153
1589274131098255366,-0.199999985259
1589274131104959388,-0.199999950374
1589274131111721270,-0.199999882664
1589274131118278743,-0.199999771402
1589274131124921498,-0.199999605976
1589274131131617842,-0.199999375879
1589274131138247761,-0.199999070714
1589274131144973364,-0.199998680193
1589274131151600520,-0.199998194136
1589274131158246910,-0.199997602471
1589274131164930082,-0.199996895232
1589274131171552997,-0.199996062562
1589274131178288231,-0.19999509471
1589274131184920598,-0.199993982031
1589274131191560478,-0.199992714986
1589274131198219723,-0.199991284141
1589274131204933314,-0.199989680168
1589274131211628875,-0.199987893844
1589274131218245301,-0.199985916049
1589274131224908576,-0.19998373777
1589274131231542378,-0.199981350094
1589274131238224000,-0.199978744213
1589274131244966436,-0.199975911424
1589274131251597750,-0.199972843123
1589274131258248781,-0.199969530811
1589274131264927571,-0.199965966088
1589274131271615403,-0.199962140659
1589274131278262079,-0.199958046328
1589274131284932418,-0.199953675
1589274131291603797,-0.19994901868
1589274131298260114,-0.199944069474
1589274131304997835,-0.199938819587
1589274131311609984,-0.199933261323
1589274131318339696,-0.199927387085
1589274131324993786,-0.199921189376
1589274131331601962,-0.199914660795
1589274131338227422,-0.19990779404
1589274131344951911,-0.199900581905
1589274131351576140,-0.199893017284
1589274131358279898,-0.199885093165
1589274131364915194,-0.199876802632
1589274131371690755,-0.199868138867
1589274131378281478,-0.199859095147
1589274131384976140,-0.199849664844
1589274131391680567,-0.199839841423
1589274131398253817,-0.199829618446
1589274131404928658,-0.199818989568
1589274131411585991,-0.199807948538
1589274131418288788,-0.199796489198
1589274131424928837,-0.199784605482
1589274131431649923,-0.19977229142
1589274131438325511,-0.19975954113
1589274131445009555,-0.199746348824
1589274131451637915,-0.199732708806
1589274131458248654,-0.19971861547
1589274131464945325,-0.199704063301
1589274131471555902,-0.199689046874
1589274131478263858,-0.199673560856
1589274131484920586,-0.1996576
1589274131491658843,-0.199641159152
1589274131498342238,-0.199624233244
1589274131504993779,-0.199606817299
1589274131511664664,-0.199588906426
