%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1589275286982355434,749,1589275286982266528,,0.0935154023995,-0.508477727106,0.960740296286,0.212346052045,-0.00368944321103,-0.0271706605018
1589275286985366452,750,1589275286985271643,,0.0935140694888,-0.508481844031,0.960738247108,0.214174225162,-0.00369525461612,-0.0271491546895
1589275286988684801,751,1589275286988576085,,0.0710403155642,-0.508396393691,0.960241774382,0.214156079928,-0.00369376475151,-0.026406567761
1589275286991579469,752,1589275286991474420,,0.0710414711819,-0.508412361406,0.960233234669,0.215096698829,-0.00369766236263,-0.0272768398685
1589275286994545933,753,1589275286994450843,,0.0712999401974,-0.636583787196,0.939650642446,0.216177278881,-0.00435427872633,-0.0281579245823
1589275286997544945,754,1589275286997441570,,0.0713029685415,-0.636601111088,0.939638676024,0.216176803804,-0.00435734005412,-0.0281610981554
1589275287000652682,755,1589275287000547034,,0.0710602355129,-0.508456465677,0.960208493121,0.217885506777,-0.00436297243112,-0.0290240579481
1589275287003677531,756,1589275287003542269,,0.0710636023947,-0.508462168717,0.960205224012,0.216966386915,-0.00435982334272,-0.0290354288903
1589275287006565371,757,1589275287006456408,,0.0710717735046,-0.508461187068,0.96020513906,0.216966149282,-0.00435974800515,-0.0290372158498
1589275287009426343,758,1589275287009351947,,0.0935565706326,-0.508553385982,0.960696241303,0.217006420722,-0.00435926091022,-0.0306626193217
1589275287012550853,759,1589275287012423796,,0.0935641422062,-0.508548686558,0.960697991593,0.217926051471,-0.00371256950492,-0.0306540134541
1589275287015470424,760,1589275287015390532,,0.11595902376,-0.508654766133,0.961201829497,0.217944312073,-0.00371209490958,-0.0313958407841
1589275287018519580,761,1589275287018400910,,0.115963409164,-0.637271438168,0.963589472403,0.217966431464,-0.00371427250028,-0.0322777092028
1589275287021483297,762,1589275287021403130,,0.115634913779,-0.637720325294,0.986587290639,0.217859782748,-0.00436494488716,-0.034051297676
1589275287024419734,763,1589275287024347851,,0.115633068119,-0.6377288875,0.986581972384,0.21785957743,-0.00436691204284,-0.0340523590601
1589275287027525005,764,1589275287027398381,,0.115625325711,-0.637732989685,0.986580228136,0.217837172594,-0.00436753432963,-0.0331700315144
1589275287030494340,765,1589275287030416897,,0.115300208217,-0.638161174243,1.00959779966,0.219546351512,-0.00437267443274,-0.0340334885997
1589275287033402940,766,1589275287033317744,,0.11529746198,-0.638165353803,1.0095954714,0.219546540851,-0.00437169826913,-0.0340323925814
1589275287036351088,767,1589275287036267983,,0.115304543236,-0.638161051214,1.00959738234,0.22050093365,-0.00437240067198,-0.0357955684725
1589275287039478393,768,1589275287039318347,,0.115641361062,-0.63773319196,0.986578217939,0.2206288118,-0.00437037984221,-0.0349032861433
1589275287042879222,769,1589275287042811273,,0.115316403049,-0.638166197698,1.00959277469,0.222328545625,-0.00437293541834,-0.035775864889
1589275287045951897,770,1589275287045859534,,0.138215039844,-0.637849821643,0.987080116297,0.223430041424,-0.0043721904275,-0.0373915605292
1589275287048432469,771,1589275287048344565,,0.138217879635,-0.63785773962,0.987074602021,0.223430055967,-0.00437091186674,-0.0373916231092
1589275287054468557,772,1589275287054342341,,0.115338455029,-0.638175089111,1.0095846353,0.223340339121,-0.00371652125683,-0.0393046358438
1589275287057449920,773,1589275287057327728,,0.115345310943,-0.638176008818,1.00958327067,0.22608491484,-0.00437489403888,-0.0392779276132
1589275287063568101,774,1589275287063421340,,0.137920171577,-0.638293000156,1.01008215259,0.227012768314,-0.00437701403976,-0.0400139354179
1589275287066490909,775,1589275287066366354,,0.137283927253,-0.63912383392,1.05624596298,0.229470112,-0.00438409383199,-0.0399884584708
1589275287069425481,776,1589275287069318214,,0.114694171869,-0.639024110168,1.05574241104,0.230382129728,-0.00438599514311,-0.0401190441706
1589275287075702316,777,1589275287075565090,,0.114698143089,-0.639033433385,1.05573633635,0.230382067,-0.00438491881867,-0.0401195220346
1589275287078448343,778,1589275287078356109,,0.114702419972,-0.639034166359,1.05573542803,0.231323499374,-0.00438714282709,-0.040994315548
1589275287081411331,779,1589275287081342562,,0.092201905886,-0.638930599899,1.05525670952,0.232212172573,-0.00503239878868,-0.0402421702416
1589275287087578314,780,1589275287087493315,,0.0921967183839,-0.638924939466,1.05526058998,0.23310820271,-0.00503588247612,-0.0393477808324
1589275287090519899,781,1589275287090343385,,0.114691334082,-0.639017410225,1.05574677467,0.234955681515,-0.00439791584732,-0.040069234935
1589275287093509285,782,1589275287093409081,,0.114351175452,-0.639415227962,1.07880222297,0.236641303967,-0.00504720150691,-0.0400508571828
1589275287099472890,783,1589275287099344441,,0.114350751059,-0.639416014711,1.07880180164,0.236641262398,-0.0050476520034,-0.0400510460199
1589275287102591521,784,1589275287102531370,,0.114355970693,-0.639421141557,1.07879820961,0.239310085754,-0.00505601243616,-0.0373593375637
1589275287105415752,785,1589275287105327426,,0.114355218984,-0.639423117479,1.07879711813,0.239310020976,-0.00505675619614,-0.0373596518447
1589275287111565702,786,1589275287111453281,,0.0914967511923,-0.639724824734,1.10137896976,0.241919974336,-0.00442335103437,-0.0374733399968
1589275287114444298,787,1589275287114370165,,0.0914937018184,-0.639724421528,1.10137945728,0.241919700735,-0.00442689507472,-0.0374746877788
1589275287117432470,788,1589275287117346781,,0.091498239807,-0.639726912934,1.10137763318,0.241896455381,-0.00507192059767,-0.0365920509704
