%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1589284721589785568,6263,1589284721589658985,,-0.00478866413045,-0.026851670549,1.17330456017
1589284721596006986,6264,1589284721595832059,,-0.00480144597174,-0.0270658322548,1.17280846674
1589284721598831586,6265,1589284721598724946,,-0.00476971649989,-0.0272426902556,1.17237034782
1589284721604644158,6266,1589284721604553511,,-0.00472937370646,-0.0275221956972,1.17178698741
1589284721607708670,6267,1589284721607605947,,-0.00467647255269,-0.0277175916561,1.17137075268
1589284721610674571,6268,1589284721610574417,,-0.00465844537057,-0.0279752260778,1.17101055711
1589284721613665517,6269,1589284721613568668,,-0.00469877870241,-0.0282665548653,1.17058508177
1589284721619701578,6270,1589284721619605152,,-0.00465020553963,-0.0282696645625,1.17026246268
1589284721622672112,6271,1589284721622588382,,-0.00463163755354,-0.0284278088775,1.16988844967
1589284721628848304,6272,1589284721628763212,,-0.00459295006476,-0.0287074578661,1.16952035469
1589284721631734599,6273,1589284721631634004,,-0.0045467510338,-0.0287995096617,1.16908879515
1589284721634674929,6274,1589284721634587102,,-0.00449404404949,-0.0288814254779,1.16875103326
1589284721640672951,6275,1589284721640589725,,-0.00439986650607,-0.029143469491,1.16838644569
1589284721643722368,6276,1589284721643625867,,-0.00437379274019,-0.0292598810108,1.16780790073
1589284721646631010,6277,1589284721646549625,,-0.00425113886563,-0.0296978863315,1.16719402737
1589284721652689422,6278,1589284721652607108,,-0.00418314299625,-0.0299300775978,1.16625503557
1589284721655645666,6279,1589284721655529979,,-0.00413209510625,-0.0301644574216,1.16555953283
1589284721658632613,6280,1589284721658526227,,-0.00407186431966,-0.0303829934223,1.16499089307
1589284721664598828,6281,1589284721664500387,,-0.00397739199286,-0.0306014061946,1.16458108814
1589284721667772736,6282,1589284721667688831,,-0.00385070319345,-0.0305533187708,1.16417943355
1589284721670709170,6283,1589284721670584692,,-0.00369264237224,-0.0306072899875,1.1637825346
1589284721676659744,6284,1589284721676559914,,-0.00357597469173,-0.0306021368547,1.16324029229
