%time,field.data
1589274480897469540,-0.2
1589274480897572015,-0.199999995625
1589274480904283104,-0.199999965117
1589274480911028357,-0.199999882664
1589274480917657354,-0.1999997228
1589274480924322691,-0.199999460407
1589274480930948641,-0.199999070714
1589274480937648313,-0.199998529288
1589274480944278148,-0.199997812044
1589274480950924125,-0.199996895232
1589274480957624977,-0.199995755444
1589274480964336087,-0.199994369607
1589274480970985821,-0.199992714986
1589274480977643825,-0.199990769177
1589274480984278873,-0.199988510112
1589274480990966059,-0.199985916049
1589274480997632506,-0.199982965581
1589274481004275728,-0.199979637625
1589274481010965581,-0.199975911424
1589274481017630837,-0.199971766548
1589274481024379698,-0.199967182889
1589274481030980727,-0.199962140659
1589274481037598634,-0.199956620393
1589274481044301598,-0.199950602942
1589274481051058987,-0.199944069474
1589274481057697862,-0.199937001473
1589274481064272592,-0.199929380737
1589274481070977041,-0.199921189376
1589274481077604630,-0.199912409809
1589274481084346054,-0.199903024766
1589274481090974808,-0.199893017284
1589274481097624959,-0.199882370705
1589274481104323450,-0.199871068676
1589274481111048599,-0.199859095147
1589274481117660609,-0.19984643437
1589274481124300978,-0.199833070894
1589274481131050966,-0.199818989568
1589274481137677253,-0.199804175538
1589274481144396165,-0.199788614244
1589274481150987148,-0.19977229142
1589274481157708846,-0.19975519309
1589274481164364797,-0.199737305572
1589274481171023298,-0.19971861547
1589274481177666682,-0.199699109675
1589274481184387240,-0.199678775364
1589274481190949550,-0.1996576
1589274481197698430,-0.199635571326
1589274481204316147,-0.199612677367
1589274481211027534,-0.199588906426
1589274481217644290,-0.199564247088
1589274481224313028,-0.199538688208
1589274481230990604,-0.199512218921
1589274481237616276,-0.199484828633
1589274481244263694,-0.19945650702
1589274481250936938,-0.199427244032
1589274481257664208,-0.199397029884
1589274481264320379,-0.199365855058
1589274481270985037,-0.199333710304
1589274481277688190,-0.199300586634
1589274481284327179,-0.199266475321
1589274481291009142,-0.199231367901
1589274481297715085,-0.199195256168
1589274481304335711,-0.199158132173
1589274481311024110,-0.199119988224
1589274481317675620,-0.199080816883
1589274481324358457,-0.199040610964
1589274481330961267,-0.198999363533
1589274481337653374,-0.198957067907
1589274481344389341,-0.198913717649
1589274481351036599,-0.19886930657
1589274481357639529,-0.198823828725
1589274481364291633,-0.198777278414
1589274481370989754,-0.198729650176
1589274481377676615,-0.198680938794
1589274481384424976,-0.198631139287
1589274481391041307,-0.198580246914
1589274481397712325,-0.198528257166
1589274481404326142,-0.198475165771
1589274481411027736,-0.198420968688
1589274481417660908,-0.198365662109
1589274481424326871,-0.198309242453
1589274481430979394,-0.198251706368
1589274481437683484,-0.198193050729
1589274481444349061,-0.198133272633
1589274481451015403,-0.198072369405
1589274481457666166,-0.198010338587
1589274481464352148,-0.197947177943
1589274481471067515,-0.197882885455
1589274481477674785,-0.197817459323
1589274481484330765,-0.197750897962
1589274481490986873,-0.1976832
1589274481497723148,-0.197614364278
1589274481504379840,-0.197544389846
1589274481511031460,-0.197473275967
1589274481517701621,-0.197401022108
1589274481524356489,-0.197327627943
1589274481531040736,-0.197253093351
1589274481537650756,-0.197177418413
1589274481544317447,-0.197100603412
1589274481551021462,-0.197022648832
1589274481557719774,-0.196943555352
1589274481564360406,-0.196863323851
1589274481570974819,-0.196781955401
1589274481577683936,-0.196699451267
1589274481584339849,-0.19661581291
1589274481591005839,-0.196531041975
1589274481597669880,-0.196445140302
1589274481604336976,-0.196358109915
1589274481611062449,-0.196269953024
