%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1588764819587610601,11303,1588764819587505365,,-0.23526912988,-32.6192613075,23.8970418876
1588764819593597476,11304,1588764819593487886,,-0.233137767775,-32.9191645001,24.0904960396
1588764819599643713,11305,1588764819599538263,,-0.233245323916,-33.1845312882,24.2472139528
1588764819605692333,11306,1588764819605586436,,-0.232160730792,-33.4821401781,24.4366063037
1588764819614632503,11307,1588764819614487143,,-0.232587718001,-33.7039361024,24.548737218
1588764819620473042,11308,1588764819620379835,,-0.231107301785,-33.951074205,24.6946148216
1588764819623962456,11309,1588764819623838996,,-0.231701809052,-33.9163957327,24.6578711987
1588764819629422555,11310,1588764819629330051,,-0.230785976074,-34.1565035914,24.7936568654
1588764819632430325,11311,1588764819632352828,,-0.230471890977,-34.4299636658,24.9702080672
1588764819635488739,11312,1588764819635404457,,-0.229912813184,-34.3888684406,24.9338839434
1588764819638497606,11313,1588764819638387881,,-0.229179086646,-34.6564225981,25.1051978213
1588764819641468146,11314,1588764819641382223,,-0.228817974666,-34.6128562989,25.0678514044
1588764819647531739,11315,1588764819647427645,,-0.224597064078,-34.7849455166,25.1676415394
1588764819650529978,11316,1588764819650420923,,-0.223130604564,-34.6920394191,25.0913517167
1588764819656645880,11317,1588764819656544549,,-0.221166769398,-34.947328552,25.2564674855
1588764819662779794,11318,1588764819662611723,,-0.21887333983,-35.1991752418,25.4185387327
1588764819668695370,11319,1588764819668603541,,-0.217609640333,-35.446468815,25.5760706901
1588764819674614071,11320,1588764819674512451,,-0.216211562092,-35.6888985967,25.7326841564
1588764819677733594,11321,1588764819677652678,,-0.215220144186,-35.9287316581,25.8838130102
1588764819683721970,11322,1588764819683570279,,-0.214724497883,-35.8761824903,25.8406473131
1588764819689636330,11323,1588764819689519648,,-0.212607222287,-36.1113931356,25.9907847834
1588764819695764256,11324,1588764819695594345,,-0.214152014219,-36.3426619773,26.13358637
1588764819701622329,11325,1588764819701517607,,-0.212398774646,-36.5764659795,26.2821939431
1588764819704609050,11326,1588764819704525311,,-0.212313844879,-36.7976777595,26.4212960635
1588764819707577959,11327,1588764819707475654,,-0.212711232832,-36.7389309312,26.371251947
1588764819710490896,11328,1588764819710373407,,-0.211257905464,-36.6424328817,26.2925868651
1588764819713627779,11329,1588764819713510699,,-0.211318392401,-36.851652898,26.4262230369
1588764819719689793,11330,1588764819719561489,,-0.211600498063,-37.0101403294,26.5191166354
1588764819722485489,11331,1588764819722396341,,-0.211986750098,-36.9582177393,26.478377874
1588764819725644285,11332,1588764819725543820,,-0.211845371099,-37.1642871258,26.6119270177
1588764819728535570,11333,1588764819728446996,,-0.212351218151,-37.110848763,26.5678459198
1588764819731479150,11334,1588764819731407863,,-0.211494757617,-37.3088218421,26.6958938811
1588764819734564845,11335,1588764819734472074,,-0.211300340912,-37.2500390348,26.6501040006
1588764819737650703,11336,1588764819737544185,,-0.211236761163,-37.2568740403,26.6474411652
1588764819740442663,11337,1588764819740358805,,-0.208562445429,-37.3158571219,26.678183267
1588764819743484062,11338,1588764819743373258,,-0.209361074303,-37.1882531846,26.5739876309
1588764819746491448,11339,1588764819746392107,,-0.208365095249,-37.366712775,26.6875975399
1588764819749455909,11340,1588764819749347834,,-0.208445520171,-37.2989375248,26.6356214707
1588764819752414685,11341,1588764819752333902,,-0.209153083854,-37.4039906469,26.6868855823
1588764819755423710,11342,1588764819755327934,,-0.210165840279,-37.3340458114,26.6322107211
1588764819758452027,11343,1588764819758335435,,-0.206798594051,-37.4988665945,26.7396261806
1588764819761507165,11344,1588764819761325321,,-0.208182324721,-37.3531663947,26.6254674096
1588764819767591731,11345,1588764819767470553,,-0.206990807524,-37.3712423765,26.6152910717
1588764819770742366,11346,1588764819770631519,,-0.206081038877,-37.2986225536,26.5592578426
1588764819776445076,11347,1588764819776350545,,-0.205422523765,-37.3727407034,26.599913026
