%time,field.header.seq,field.header.stamp,field.header.frame_id,field.array.layout.data_offset,field.array.data0,field.array.data1,field.array.data2,field.array.data3,field.array.data4,field.array.data5,field.array.data6
1589276143220666246,0,1589276143220563895,,0,-0.00455694468993,-0.0749926086298,-0.144063829373,-0.0583246469355,0.0474324855136,-0.218256926112,-0.019860844555
1589276143223668500,1,1589276143223565813,,0,-0.00495266611052,-0.0761088323349,-0.142606839554,-0.0580609554665,0.047426777804,-0.217949415424,-0.0198728504524
1589276143226552500,2,1589276143226468185,,0,-0.00495065441988,-0.0761095742222,-0.142606727721,-0.0580589389907,0.0474243058194,-0.217953768272,-0.0198708012478
1589276143229541753,3,1589276143229454628,,0,-0.00475481562235,-0.0755517771009,-0.143333489738,-0.0581958362589,0.0474271365036,-0.218102028307,-0.019866969364
1589276143235552951,4,1589276143235448203,,0,-0.00346133703863,-0.0769867214665,-0.140478398913,-0.0599474516332,0.0456568996446,-0.216856890495,-0.0213298935835
1589276143238473064,5,1589276143238391449,,0,-0.00346202240151,-0.0769857964206,-0.140475905249,-0.0599509286481,0.0456573177349,-0.216859549356,-0.0213305146931
1589276143244437851,6,1589276143244350291,,0,-0.00327196466548,-0.0764694148021,-0.141153067861,-0.0600720631514,0.0456582517682,-0.217004515868,-0.0213281974259
1589276143247547008,7,1589276143247455732,,0,-0.00475690277961,-0.0751990453394,-0.142665721597,-0.0578849733674,0.0472275318296,-0.217088332766,-0.0197503961302
1589276143250352938,8,1589276143250269960,,0,-0.00475706994997,-0.0751832575866,-0.142658836199,-0.0578909607319,0.0472311447667,-0.217111259244,-0.019747194635
1589276143253692233,9,1589276143253583956,,0,-0.00476051038298,-0.0751459229543,-0.142633495429,-0.0579049449763,0.0472480171522,-0.217161500188,-0.0197459945165
1589276143259478889,10,1589276143259382536,,0,-0.00309506200672,-0.0756051218148,-0.141319038097,-0.0601034477807,0.0456470859214,-0.217001194914,-0.0212504685087
1589276143262398425,11,1589276143262330051,,0,-0.00375125179863,-0.0761357223261,-0.137673304207,-0.0589608976413,0.0452304073387,-0.214088445085,-0.020910091297
1589276143268696514,12,1589276143268610720,,0,-0.00475774550643,-0.0720662545738,-0.139355569815,-0.0563525096546,0.0461379550959,-0.211501109943,-0.0188721113816
1589276143271619411,13,1589276143271539590,,0,-0.00479763841629,-0.0718315016659,-0.139209556014,-0.0563920487516,0.0461218451511,-0.211163240997,-0.0188797604486
1589276143274552292,14,1589276143274465329,,0,-0.00426446569344,-0.0696314623336,-0.141030218612,-0.0565677421771,0.0460075011994,-0.210293997489,-0.0188170874741
1589276143277563775,15,1589276143277490605,,0,-0.00447450853359,-0.0693195612463,-0.139069993063,-0.0557302606029,0.045610617745,-0.207964555523,-0.0185480577904
1589276143283525154,16,1589276143283444720,,0,-0.00438617234426,-0.0689993858999,-0.138819416263,-0.0556044086314,0.0452714182166,-0.207132038453,-0.0184312098077
1589276143286590138,17,1589276143286509060,,0,-0.00659695725145,-0.069678611816,-0.136846998747,-0.0527630825298,0.0464378763487,-0.205454351673,-0.0168122598331
1589276143292881865,18,1589276143292774876,,0,-0.00546604384759,-0.0719081732875,-0.134051998656,-0.0546125986869,0.0447938390537,-0.205092159042,-0.0183092330969
1589276143295573333,19,1589276143295476735,,0,-0.00539643324243,-0.0714511284302,-0.133751421361,-0.0543558954919,0.0445395769763,-0.204188890834,-0.0181806594845
