%time,field.data
1589274947506894252,-0.2
1589274947506989839,-0.199999995625
1589274947513763122,-0.199999965117
1589274947520386530,-0.199999882664
1589274947527045632,-0.1999997228
1589274947533720734,-0.199999460407
1589274947540350987,-0.199999070714
1589274947547082702,-0.199998529288
1589274947553722626,-0.199997812044
1589274947560412791,-0.199996895232
1589274947567098052,-0.199995755444
1589274947573716009,-0.199994369607
1589274947580426483,-0.199992714986
1589274947587055502,-0.199990769177
1589274947593698751,-0.199988510112
1589274947600385598,-0.199985916049
1589274947607033732,-0.199982965581
1589274947613691851,-0.199979637625
1589274947620360026,-0.199975911424
1589274947627082439,-0.199971766548
1589274947633725187,-0.199967182889
1589274947640359910,-0.199962140659
1589274947646964444,-0.199956620393
1589274947653621714,-0.199950602942
1589274947660355028,-0.199944069474
1589274947667008017,-0.199937001473
1589274947673709102,-0.199929380737
1589274947680362642,-0.199921189376
1589274947687016540,-0.199912409809
1589274947693661604,-0.199903024766
1589274947700342832,-0.199893017284
1589274947707020275,-0.199882370705
1589274947713658483,-0.199871068676
1589274947720405761,-0.199859095147
1589274947727004510,-0.19984643437
1589274947733708096,-0.199833070894
1589274947740385122,-0.199818989568
1589274947747032270,-0.199804175538
1589274947753778656,-0.199788614244
1589274947760440126,-0.19977229142
1589274947767123505,-0.19975519309
1589274947773718110,-0.199737305572
1589274947780459266,-0.19971861547
1589274947787108760,-0.199699109675
1589274947793736391,-0.199678775364
1589274947800319541,-0.1996576
1589274947807046475,-0.199635571326
1589274947813720661,-0.199612677367
1589274947820413335,-0.199588906426
1589274947827121377,-0.199564247088
1589274947833770707,-0.199538688208
1589274947840463947,-0.199512218921
1589274947847055167,-0.199484828633
1589274947853710551,-0.19945650702
1589274947860381192,-0.199427244032
1589274947867091450,-0.199397029884
1589274947873761076,-0.199365855058
1589274947880406174,-0.199333710304
1589274947887100895,-0.199300586634
1589274947893725590,-0.199266475321
1589274947900414759,-0.199231367901
1589274947907089986,-0.199195256168
1589274947913724396,-0.199158132173
1589274947920398797,-0.199119988224
1589274947927031050,-0.199080816883
1589274947933738792,-0.199040610964
1589274947940432780,-0.198999363533
1589274947947053043,-0.198957067907
1589274947953739722,-0.198913717649
1589274947960395342,-0.19886930657
1589274947967037656,-0.198823828725
1589274947973777444,-0.198777278414
1589274947980418075,-0.198729650176
1589274947987075579,-0.198680938794
1589274947993704377,-0.198631139287
1589274948000402012,-0.198580246914
1589274948007035732,-0.198528257166
1589274948013765012,-0.198475165771
1589274948020395688,-0.198420968688
1589274948027068772,-0.198365662109
1589274948033808189,-0.198309242453
1589274948040424745,-0.198251706368
1589274948047023357,-0.198193050729
1589274948053721087,-0.198133272633
1589274948060436509,-0.198072369405
1589274948067109547,-0.198010338587
1589274948073750501,-0.197947177943
1589274948080365474,-0.197882885455
1589274948087091261,-0.197817459323
1589274948093713839,-0.197750897962
1589274948100388782,-0.1976832
1589274948106994393,-0.197614364278
1589274948113702302,-0.197544389846
1589274948120350995,-0.197473275967
1589274948127067355,-0.197401022108
1589274948133694193,-0.197327627943
1589274948140360415,-0.197253093351
1589274948147039987,-0.197177418413
1589274948153679673,-0.197100603412
1589274948160432826,-0.197022648832
1589274948167017127,-0.196943555352
1589274948173677791,-0.196863323851
1589274948180359363,-0.196781955401
1589274948186977415,-0.196699451267
1589274948193648215,-0.19661581291
1589274948200373232,-0.196531041975
1589274948207006604,-0.196445140302
1589274948213695049,-0.196358109915
1589274948220364602,-0.196269953024
1589274948227077565,-0.196180672024
1589274948233718919,-0.196090269491
1589274948240405270,-0.195998748185
1589274948247076440,-0.195906111043
1589274948253690276,-0.19581236118
1589274948260365770,-0.195717501889
1589274948267018032,-0.195621536636
1589274948273727089,-0.195524469061
1589274948280370621,-0.195426302976
1589274948286987633,-0.195327042363
1589274948293734930,-0.195226691372
1589274948300427500,-0.195125254321
1589274948307048956,-0.195022735692
1589274948313708516,-0.194919140133
1589274948320407974,-0.194814472451
1589274948327133140,-0.194708737618
1589274948333800398,-0.194601940761
1589274948340416869,-0.194494087168
1589274948347036842,-0.194385182281
1589274948353767054,-0.194275231698
1589274948360468788,-0.194164241168
1589274948367079514,-0.194052216593
1589274948373698975,-0.193939164025
1589274948380397941,-0.193825089662
1589274948387088177,-0.193709999853
1589274948393728021,-0.193593901087
1589274948400390129,-0.1934768
1589274948407066388,-0.193358703369
1589274948413766149,-0.193239618112
1589274948420471479,-0.193119551286
1589274948427063286,-0.192998510083
1589274948433692690,-0.192876501834
1589274948440379113,-0.192753534003
1589274948447064180,-0.192629614185
1589274948453803498,-0.192504750109
1589274948460359799,-0.192378949632
1589274948467098611,-0.192252220739
1589274948473777496,-0.192124571541
1589274948480350765,-0.191996010275
1589274948487048601,-0.1918665453
1589274948493649870,-0.191736185099
1589274948500342355,-0.191604938272
1589274948507073633,-0.191472813539
1589274948513730148,-0.191339819739
1589274948520384753,-0.191205965824
1589274948527040521,-0.19107126086
1589274948533728854,-0.190935714027
1589274948540428279,-0.190799334615
1589274948547124596,-0.190662132022
1589274948553637065,-0.190524115756
1589274948560382720,-0.19038529543
1589274948567051467,-0.19024568076
1589274948573664885,-0.190105281568
1589274948580440975,-0.189964107776
1589274948586987328,-0.189822169405
1589274948593637129,-0.189679476576
1589274948600327865,-0.189536039506
1589274948607013354,-0.189391868507
1589274948613751507,-0.189246973984
1589274948620328155,-0.189101366436
1589274948627044184,-0.188955056451
1589274948633730495,-0.188808054707
1589274948640418595,-0.188660371968
1589274948647012272,-0.188512019085
1589274948653658877,-0.188363006992
1589274948660416375,-0.188213346709
1589274948667021411,-0.188063049332
1589274948673707020,-0.187912126041
1589274948680370298,-0.187760588092
1589274948687028140,-0.187608446818
1589274948693744208,-0.187455713627
1589274948700446808,-0.1873024
1589274948707060072,-0.18714851749
1589274948713697400,-0.18699407772
1589274948720361238,-0.186839092382
1589274948727038678,-0.186683573235
1589274948733704527,-0.186527532104
1589274948740406685,-0.186370980877
1589274948747077974,-0.186213931504
1589274948753739583,-0.186056395999
1589274948760393625,-0.185898386432
